gender|cp|occupation_id|age_id|occupation|age_range
M|91767|5|18|customer service|18-24
F|94061|1|45|academic/educator|45-49
M|79930|16|56|self-employed|56+
M|60076|0|18|other or not specified|18-24
M|55125|17|25|technician/engineer|25-34
M|04915|4|18|college/grad student|18-24
M|10977|1|18|academic/educator|18-24
F|44106|15|45|scientist|45-49
F|29146|10|1|K-12 student|Under 18
M|10458|12|25|programmer|25-34
F|94587|9|35|homemaker|35-44
M|10023|14|18|sales/marketing|18-24
M|55108|12|25|programmer|25-34
M|83706|4|18|college/grad student|18-24
F|84321|4|18|college/grad student|18-24
F|55117|2|35|artist|35-44
M|53706|4|18|college/grad student|18-24
F|53715|4|18|college/grad student|18-24
M|92123|7|25|executive/managerial|25-34
M|97333|12|35|programmer|35-44
M|20194|17|25|technician/engineer|25-34
M|94115|12|25|programmer|25-34
M|55432|17|35|technician/engineer|35-44
M|90048|1|35|academic/educator|35-44
F|25801|10|1|K-12 student|Under 18
M|90620|17|45|technician/engineer|45-49
M|53714|16|25|self-employed|25-34
F|01609|4|18|college/grad student|18-24
M|80218|20|18|writer|18-24
M|92075|14|35|sales/marketing|35-44
M|52761|13|45|retired|45-49
M|22903|4|18|college/grad student|18-24
M|95822|14|35|sales/marketing|35-44
F|55113|4|25|college/grad student|25-34
M|22903|12|25|programmer|25-34
F|94063|0|25|other or not specified|25-34
M|55116|1|25|academic/educator|25-34
M|28262|17|25|technician/engineer|25-34
F|14850|4|18|college/grad student|18-24
M|11215|7|25|executive/managerial|25-34
M|94518|1|35|academic/educator|35-44
M|90291|20|35|writer|35-44
M|55455|15|25|scientist|25-34
M|04576|10|18|K-12 student|18-24
M|43210|1|45|academic/educator|45-49
M|55455|3|25|clerical/admin|25-34
M|55408|20|25|writer|25-34
F|37919-4204|20|45|writer|45-49
M|39652|7|35|executive/managerial|35-44
M|98153|0|25|other or not specified|25-34
M|55126|5|25|customer service|25-34
M|46835|6|25|doctor/health care|25-34
F|90291|7|50|executive/managerial|50-55
M|94618|19|18|unemployed|18-24
M|55113|17|50|technician/engineer|50-55
M|55121|20|35|writer|35-44
F|53706|4|18|college/grad student|18-24
M|11576|16|25|self-employed|25-34
M|19072|7|50|executive/managerial|50-55
M|66046|16|35|self-employed|35-44
F|60625|4|18|college/grad student|18-24
M|94404|17|25|technician/engineer|25-34
M|72703|17|18|technician/engineer|18-24
F|48126|14|18|sales/marketing|18-24
M|11229|16|35|self-employed|35-44
M|55105|17|56|technician/engineer|56+
M|94112|12|25|programmer|25-34
F|97370|11|25|lawyer|25-34
M|49015|17|35|technician/engineer|35-44
M|85310|0|35|other or not specified|35-44
M|55076|16|45|self-employed|45-49
M|55113|18|18|tradesman/craftsman|18-24
M|55436|7|25|executive/managerial|25-34
M|60615|1|25|academic/educator|25-34
M|98126|19|18|unemployed|18-24
M|75801|20|25|writer|25-34
F|68503|1|25|academic/educator|25-34
F|22304|7|25|executive/managerial|25-34
M|20755|0|35|other or not specified|35-44
F|55116|7|35|executive/managerial|35-44
M|75229|11|35|lawyer|35-44
M|55001|12|45|programmer|45-49
F|29708|12|18|programmer|18-24
M|55408|2|25|artist|25-34
M|55414|14|50|sales/marketing|50-55
M|48202|4|18|college/grad student|18-24
M|80302|0|18|other or not specified|18-24
M|55427|4|18|college/grad student|18-24
M|55455|4|18|college/grad student|18-24
M|48162|0|25|other or not specified|25-34
M|01982|16|45|self-employed|45-49
F|98126|1|35|academic/educator|35-44
M|60482|18|45|tradesman/craftsman|45-49
M|91214|14|25|sales/marketing|25-34
M|19118|7|50|executive/managerial|50-55
F|94117|0|35|other or not specified|35-44
M|94401|17|25|technician/engineer|25-34
M|10003|0|25|other or not specified|25-34
M|91910|12|25|programmer|25-34
F|94109|0|35|other or not specified|35-44
M|54601|1|25|academic/educator|25-34
M|94706|13|50|retired|50-55
F|97119|12|25|programmer|25-34
F|11801|0|25|other or not specified|25-34
F|94591|20|25|writer|25-34
M|55110|12|35|programmer|35-44
M|19406|7|35|executive/managerial|35-44
M|55337-4056|1|56|academic/educator|56+
F|43147|9|45|homemaker|45-49
M|80203|0|18|other or not specified|18-24
M|89432|5|50|customer service|50-55
M|97211|2|18|artist|18-24
F|19010|4|18|college/grad student|18-24
M|97370|12|25|programmer|25-34
M|78664|7|25|executive/managerial|25-34
M|61820|4|18|college/grad student|18-24
M|04901|4|18|college/grad student|18-24
M|20006|7|25|executive/managerial|25-34
M|55414|0|25|other or not specified|25-34
F|55414|0|18|other or not specified|18-24
M|53051|0|18|other or not specified|18-24
M|90027|16|50|self-employed|50-55
M|10025|2|25|artist|25-34
M|16801|4|25|college/grad student|25-34
F|31207|4|18|college/grad student|18-24
M|31201|4|18|college/grad student|18-24
F|22207|2|50|artist|50-55
F|02138|4|18|college/grad student|18-24
F|46911|9|56|homemaker|56+
F|55105|1|56|academic/educator|56+
M|90740|13|56|retired|56+
M|38555|7|35|executive/managerial|35-44
F|55104|13|56|retired|56+
F|33436|6|50|doctor/health care|50-55
M|99516|6|35|doctor/health care|35-44
M|55128|4|18|college/grad student|18-24
M|55117|17|56|technician/engineer|56+
M|53716|12|45|programmer|45-49
M|55106|17|35|technician/engineer|35-44
F|55112|3|50|clerical/admin|50-55
M|25302|11|50|lawyer|50-55
M|55448|18|35|tradesman/craftsman|35-44
M|80401|12|35|programmer|35-44
M|02115|7|35|executive/managerial|35-44
M|92065|7|56|executive/managerial|56+
M|55902|7|25|executive/managerial|25-34
M|55109|1|50|academic/educator|50-55
M|55410|2|35|artist|35-44
F|55113|2|56|artist|56+
M|55434|18|35|tradesman/craftsman|35-44
M|98765|0|18|other or not specified|18-24
M|80205|19|18|unemployed|18-24
M|55116|7|35|executive/managerial|35-44
M|80207|7|50|executive/managerial|50-55
F|28001|3|25|clerical/admin|25-34
F|92119|13|56|retired|56+
M|55076|12|18|programmer|18-24
F|55127|3|35|clerical/admin|35-44
M|75034|14|35|sales/marketing|35-44
M|94114|12|25|programmer|25-34
F|55110|0|25|other or not specified|25-34
F|55305|1|56|academic/educator|56+
M|55110|7|50|executive/managerial|50-55
M|08035|10|1|K-12 student|Under 18
M|08035|20|45|writer|45-49
M|55105|4|18|college/grad student|18-24
M|60115|4|18|college/grad student|18-24
F|92625|7|35|executive/managerial|35-44
M|55117|1|35|academic/educator|35-44
M|55107|3|18|clerical/admin|18-24
M|55101|20|56|writer|56+
M|98103|0|18|other or not specified|18-24
F|20815|1|56|academic/educator|56+
M|55128|17|25|technician/engineer|25-34
M|28208|17|35|technician/engineer|35-44
F|94115|14|25|sales/marketing|25-34
M|55407|20|35|writer|35-44
M|55419|10|18|K-12 student|18-24
F|46815|1|35|academic/educator|35-44
F|02138|4|18|college/grad student|18-24
M|55126|15|50|scientist|50-55
M|55421|12|50|programmer|50-55
M|90293|0|25|other or not specified|25-34
M|55110|1|35|academic/educator|35-44
M|22304|17|18|technician/engineer|18-24
M|02141|4|18|college/grad student|18-24
F|72227|4|18|college/grad student|18-24
F|55347|2|25|artist|25-34
F|55346|14|35|sales/marketing|35-44
M|55106|2|25|artist|25-34
M|80026|1|35|academic/educator|35-44
M|55418|17|25|technician/engineer|25-34
F|55105|0|18|other or not specified|18-24
F|54822|1|35|academic/educator|35-44
M|92024|2|25|artist|25-34
M|89015|17|35|technician/engineer|35-44
F|66205|20|35|writer|35-44
F|78757|7|25|executive/managerial|25-34
M|55075|11|25|lawyer|25-34
M|68131|6|25|doctor/health care|25-34
M|55408|0|25|other or not specified|25-34
F|55111|7|35|executive/managerial|35-44
F|10021|0|25|other or not specified|25-34
M|68128|6|25|doctor/health care|25-34
M|55405|4|25|college/grad student|25-34
M|22122|11|45|lawyer|45-49
M|20037|7|18|executive/managerial|18-24
M|55402|17|35|technician/engineer|35-44
M|55013|0|18|other or not specified|18-24
M|55104|5|18|customer service|18-24
M|56187|1|25|academic/educator|25-34
M|22124|17|35|technician/engineer|35-44
M|55454|17|25|technician/engineer|25-34
F|55128|6|35|doctor/health care|35-44
F|55422|3|18|clerical/admin|18-24
M|55129|0|18|other or not specified|18-24
M|55427|11|25|lawyer|25-34
M|02138|4|18|college/grad student|18-24
M|10128|4|18|college/grad student|18-24
M|13077|1|56|academic/educator|56+
M|55105|20|25|writer|25-34
M|89503|17|18|technician/engineer|18-24
M|02143|11|25|lawyer|25-34
M|55122|12|18|programmer|18-24
F|55417|1|25|academic/educator|25-34
F|43214|1|45|academic/educator|45-49
M|55117|15|35|scientist|35-44
M|55409|11|25|lawyer|25-34
M|55317|0|25|other or not specified|25-34
F|55406|0|35|other or not specified|35-44
M|55076|14|45|sales/marketing|45-49
F|50613|0|25|other or not specified|25-34
F|54016|3|25|clerical/admin|25-34
M|55422|3|18|clerical/admin|18-24
M|55406|1|35|academic/educator|35-44
F|55125|3|45|clerical/admin|45-49
M|55104|17|56|technician/engineer|56+
M|55455|4|18|college/grad student|18-24
M|55112|17|25|technician/engineer|25-34
M|55303|12|25|programmer|25-34
M|55455|4|18|college/grad student|18-24
M|55104|12|35|programmer|35-44
F|55455|4|18|college/grad student|18-24
M|54901|0|18|other or not specified|18-24
F|55306|10|18|K-12 student|18-24
M|55303|10|18|K-12 student|18-24
M|55306|16|45|self-employed|45-49
M|55115|6|50|doctor/health care|50-55
F|98155|3|45|clerical/admin|45-49
M|55125|7|25|executive/managerial|25-34
M|43023|4|18|college/grad student|18-24
M|55030|17|35|technician/engineer|35-44
M|53705|11|18|lawyer|18-24
M|55129|14|35|sales/marketing|35-44
M|32940|1|56|academic/educator|56+
M|55127|1|35|academic/educator|35-44
M|55105|1|25|academic/educator|25-34
M|55421|3|25|clerical/admin|25-34
M|55108|0|56|other or not specified|56+
M|55117|12|45|programmer|45-49
F|55042|0|50|other or not specified|50-55
F|55105|11|45|lawyer|45-49
M|80123|17|25|technician/engineer|25-34
M|85037|7|25|executive/managerial|25-34
M|24523|1|45|academic/educator|45-49
M|54720|13|56|retired|56+
M|55117|17|50|technician/engineer|50-55
M|55102|4|18|college/grad student|18-24
M|55092|20|25|writer|25-34
F|55113|2|35|artist|35-44
M|55105|0|35|other or not specified|35-44
M|54703|4|18|college/grad student|18-24
M|55405-2546|16|50|self-employed|50-55
F|55105|4|18|college/grad student|18-24
M|55313|18|45|tradesman/craftsman|45-49
M|55075|7|50|executive/managerial|50-55
M|55416|16|18|self-employed|18-24
M|55105|7|25|executive/managerial|25-34
F|55455|4|18|college/grad student|18-24
M|94523|19|18|unemployed|18-24
M|55405|5|25|customer service|25-34
F|55075|3|35|clerical/admin|35-44
F|55082|10|1|K-12 student|Under 18
M|55122|6|35|doctor/health care|35-44
F|55068|10|1|K-12 student|Under 18
M|08904|7|35|executive/managerial|35-44
M|55418|0|35|other or not specified|35-44
F|55112|4|18|college/grad student|18-24
M|92126|17|25|technician/engineer|25-34
F|55421|2|25|artist|25-34
M|55127|0|35|other or not specified|35-44
M|55410|14|35|sales/marketing|35-44
M|55113|16|50|self-employed|50-55
M|55042|12|25|programmer|25-34
F|55422|4|18|college/grad student|18-24
M|55115|7|45|executive/managerial|45-49
M|55305|14|25|sales/marketing|25-34
M|55105|12|18|programmer|18-24
F|55104|10|1|K-12 student|Under 18
M|55042|7|56|executive/managerial|56+
M|91367|0|56|other or not specified|56+
F|55082|17|35|technician/engineer|35-44
M|55107|12|25|programmer|25-34
M|55455|4|18|college/grad student|18-24
M|55345|10|1|K-12 student|Under 18
M|56043|4|18|college/grad student|18-24
M|55112|12|25|programmer|25-34
M|55016|7|50|executive/managerial|50-55
F|17870|0|35|other or not specified|35-44
M|55421|10|18|K-12 student|18-24
M|55455|4|18|college/grad student|18-24
F|55412|17|25|technician/engineer|25-34
M|55113|17|35|technician/engineer|35-44
F|55108|1|25|academic/educator|25-34
F|55105|2|18|artist|18-24
M|55372|2|25|artist|25-34
M|55126|6|35|doctor/health care|35-44
M|73120|11|35|lawyer|35-44
M|17003|2|25|artist|25-34
M|37815|17|35|technician/engineer|35-44
M|55103-1006|16|25|self-employed|25-34
F|55405|0|25|other or not specified|25-34
M|55418|12|25|programmer|25-34
M|55125|2|25|artist|25-34
M|55109|12|18|programmer|18-24
F|15232|4|45|college/grad student|45-49
M|55379|0|35|other or not specified|35-44
M|55119|0|25|other or not specified|25-34
M|55113|2|25|artist|25-34
M|55406|1|25|academic/educator|25-34
F|55033|14|56|sales/marketing|56+
F|55408|14|25|sales/marketing|25-34
F|75240|12|35|programmer|35-44
F|55038|14|35|sales/marketing|35-44
F|55104|20|35|writer|35-44
M|55105|7|56|executive/managerial|56+
M|55124|12|25|programmer|25-34
M|55105|7|50|executive/managerial|50-55
M|91320|0|18|other or not specified|18-24
M|19027|6|35|doctor/health care|35-44
M|94806|17|45|technician/engineer|45-49
F|11201|2|25|artist|25-34
F|83843|17|18|technician/engineer|18-24
M|92009|12|35|programmer|35-44
M|10019|2|25|artist|25-34
F|22206|14|18|sales/marketing|18-24
M|94301|7|25|executive/managerial|25-34
M|27514|12|25|programmer|25-34
M|55902|15|25|scientist|25-34
M|95370|6|35|doctor/health care|35-44
M|01267|20|25|writer|25-34
M|07704|14|45|sales/marketing|45-49
M|95407|16|56|self-employed|56+
M|55103|2|25|artist|25-34
M|15213|1|18|academic/educator|18-24
F|5849574|4|18|college/grad student|18-24
M|78705|4|18|college/grad student|18-24
M|55057|5|25|customer service|25-34
M|94538|12|35|programmer|35-44
M|01890|17|35|technician/engineer|35-44
F|37211|0|25|other or not specified|25-34
M|76109|12|35|programmer|35-44
F|96860|16|35|self-employed|35-44
M|53217|6|25|doctor/health care|25-34
M|21559|8|45|farmer|45-49
M|55116|20|35|writer|35-44
M|23456|18|50|tradesman/craftsman|50-55
M|94131|2|25|artist|25-34
M|94086|12|25|programmer|25-34
M|53213|4|18|college/grad student|18-24
F|37221|9|25|homemaker|25-34
M|30030|1|56|academic/educator|56+
M|55108|20|35|writer|35-44
F|60422|7|25|executive/managerial|25-34
M|81335|15|45|scientist|45-49
F|64060|14|18|sales/marketing|18-24
M|48083|20|35|writer|35-44
M|53703|4|25|college/grad student|25-34
M|49419|1|45|academic/educator|45-49
M|45242|16|25|self-employed|25-34
M|92122|17|25|technician/engineer|25-34
M|52570-9634|20|35|writer|35-44
F|19716|17|50|technician/engineer|50-55
F|97339|4|18|college/grad student|18-24
M|33314|4|25|college/grad student|25-34
M|95401|5|50|customer service|50-55
M|61801|4|18|college/grad student|18-24
F|98119|2|35|artist|35-44
M|90214|19|25|unemployed|25-34
M|92130|12|25|programmer|25-34
F|20910|15|45|scientist|45-49
M|02115|0|35|other or not specified|35-44
M|90064|17|18|technician/engineer|18-24
M|32839|5|25|customer service|25-34
M|08534|10|1|K-12 student|Under 18
M|73543|14|50|sales/marketing|50-55
M|67042|4|18|college/grad student|18-24
F|48067|0|25|other or not specified|25-34
F|94403|0|25|other or not specified|25-34
M|53703|1|18|academic/educator|18-24
M|53092|14|35|sales/marketing|35-44
M|92649|20|25|writer|25-34
F|23220|11|25|lawyer|25-34
M|90210|2|18|artist|18-24
F|98032|6|35|doctor/health care|35-44
M|76201|0|25|other or not specified|25-34
M|92103|0|18|other or not specified|18-24
F|91711|1|50|academic/educator|50-55
F|60076|13|56|retired|56+
M|10019|7|25|executive/managerial|25-34
F|01950|1|25|academic/educator|25-34
M|80206|12|35|programmer|35-44
M|95476|7|35|executive/managerial|35-44
M|53711|6|50|doctor/health care|50-55
M|66209|17|35|technician/engineer|35-44
F|06320|20|18|writer|18-24
F|14612|6|56|doctor/health care|56+
F|32256|6|25|doctor/health care|25-34
M|32256|17|45|technician/engineer|45-49
F|44425|4|18|college/grad student|18-24
F|49507|10|1|K-12 student|Under 18
M|43614|0|25|other or not specified|25-34
M|18011|4|18|college/grad student|18-24
M|10012|7|25|executive/managerial|25-34
M|77025|4|25|college/grad student|25-34
M|20715|0|35|other or not specified|35-44
M|95020|7|50|executive/managerial|50-55
M|10562|20|35|writer|35-44
M|90024|1|35|academic/educator|35-44
M|32951|17|50|technician/engineer|50-55
M|94115|7|25|executive/managerial|25-34
F|92117|7|25|executive/managerial|25-34
M|74105|0|25|other or not specified|25-34
F|94706|1|18|academic/educator|18-24
M|13210|0|18|other or not specified|18-24
M|93560|4|18|college/grad student|18-24
M|92612|0|25|other or not specified|25-34
M|60555|17|25|technician/engineer|25-34
M|75207|1|25|academic/educator|25-34
F|44106|12|35|programmer|35-44
M|77005|4|18|college/grad student|18-24
M|97210|2|50|artist|50-55
F|20715|0|35|other or not specified|35-44
F|48154|10|1|K-12 student|Under 18
F|80525|14|35|sales/marketing|35-44
M|28601|17|35|technician/engineer|35-44
M|07649|17|45|technician/engineer|45-49
M|94131|17|25|technician/engineer|25-34
F|49512|10|1|K-12 student|Under 18
M|33785|17|56|technician/engineer|56+
M|92055|20|18|writer|18-24
M|97132|12|35|programmer|35-44
M|77584|6|25|doctor/health care|25-34
M|85202|17|45|technician/engineer|45-49
M|47406|4|18|college/grad student|18-24
F|55116|0|35|other or not specified|35-44
F|78155|1|35|academic/educator|35-44
M|23188|2|25|artist|25-34
M|93704|20|25|writer|25-34
M|11215|20|35|writer|35-44
M|08505|7|35|executive/managerial|35-44
M|85224|12|35|programmer|35-44
F|94131|12|25|programmer|25-34
M|80526|4|25|college/grad student|25-34
M|49445|17|25|technician/engineer|25-34
M|20895|7|35|executive/managerial|35-44
M|12222|20|18|writer|18-24
M|92660|13|56|retired|56+
M|75023|7|50|executive/managerial|50-55
F|92629|2|25|artist|25-34
F|92106|16|45|self-employed|45-49
F|34691|13|50|retired|50-55
F|10021|0|25|other or not specified|25-34
F|28134|0|25|other or not specified|25-34
M|70507|16|45|self-employed|45-49
M|13114|1|45|academic/educator|45-49
M|99163|4|18|college/grad student|18-24
F|12345|7|25|executive/managerial|25-34
M|74601|18|35|tradesman/craftsman|35-44
M|13317|2|18|artist|18-24
F|08540|0|18|other or not specified|18-24
M|98438|18|25|tradesman/craftsman|25-34
F|22042|3|25|clerical/admin|25-34
M|30307|17|25|technician/engineer|25-34
M|30303|12|25|programmer|25-34
M|61761|4|18|college/grad student|18-24
M|46845|7|35|executive/managerial|35-44
M|10023|20|25|writer|25-34
M|22042|17|25|technician/engineer|25-34
M|02048|20|25|writer|25-34
M|55129|16|18|self-employed|18-24
M|94122|2|50|artist|50-55
M|34952|0|25|other or not specified|25-34
M|29681|16|35|self-employed|35-44
M|37013|12|25|programmer|25-34
M|30501|7|35|executive/managerial|35-44
M|27510|4|25|college/grad student|25-34
M|27514|4|25|college/grad student|25-34
M|27510|4|25|college/grad student|25-34
M|27514|4|25|college/grad student|25-34
M|27514|4|18|college/grad student|18-24
F|14136|7|25|executive/managerial|25-34
M|13407|13|56|retired|56+
F|48103|0|50|other or not specified|50-55
M|90717|12|25|programmer|25-34
M|96813|11|35|lawyer|35-44
F|85207|0|25|other or not specified|25-34
M|98103|12|35|programmer|35-44
M|76401|4|18|college/grad student|18-24
F|04240|1|18|academic/educator|18-24
M|94114|12|25|programmer|25-34
F|97330|6|50|doctor/health care|50-55
M|76401|4|18|college/grad student|18-24
M|73505|0|18|other or not specified|18-24
M|14650|17|50|technician/engineer|50-55
F|01002|4|18|college/grad student|18-24
M|90808|7|35|executive/managerial|35-44
F|44074|1|56|academic/educator|56+
F|85712|8|35|farmer|35-44
M|48065|4|25|college/grad student|25-34
M|78664|20|35|writer|35-44
M|17740|7|35|executive/managerial|35-44
M|37042|0|25|other or not specified|25-34
M|92647|0|18|other or not specified|18-24
M|85207|20|25|writer|25-34
M|80521|18|25|tradesman/craftsman|25-34
M|95136|0|25|other or not specified|25-34
M|79912|7|35|executive/managerial|35-44
M|76013|4|18|college/grad student|18-24
M|53715|0|18|other or not specified|18-24
M|98188|4|18|college/grad student|18-24
M|90211|11|25|lawyer|25-34
M|90211|2|18|artist|18-24
M|75070|0|1|other or not specified|Under 18
M|55129|0|18|other or not specified|18-24
F|97520|9|35|homemaker|35-44
M|55106|12|25|programmer|25-34
M|98027|12|25|programmer|25-34
M|90266|13|50|retired|50-55
M|08904|11|56|lawyer|56+
F|77449|9|25|homemaker|25-34
M|94061|11|35|lawyer|35-44
M|11598|6|25|doctor/health care|25-34
M|85284|12|35|programmer|35-44
M|10580|0|25|other or not specified|25-34
M|55410|3|45|clerical/admin|45-49
M|07030|7|25|executive/managerial|25-34
M|30034|16|35|self-employed|35-44
M|90078|7|25|executive/managerial|25-34
M|04240|14|25|sales/marketing|25-34
M|07070|12|18|programmer|18-24
M|53711|19|1|unemployed|Under 18
M|99205|17|18|technician/engineer|18-24
M|55803|12|35|programmer|35-44
M|24551|14|25|sales/marketing|25-34
M|44095|5|25|customer service|25-34
M|54758|0|18|other or not specified|18-24
F|60660|2|1|artist|Under 18
M|77007|17|25|technician/engineer|25-34
M|90004|10|1|K-12 student|Under 18
F|95019|19|18|unemployed|18-24
M|98606|4|18|college/grad student|18-24
